x,greenLed,InfraredLed
1524836554898,9532,3374834
1524836554943,9510,3374861
1524836554944,9488,3374831
1524836554945,9531,3374841
1524836554946,9542,3374818
1524836554946,9529,3374752
1524836554958,9537,3374722
1524836554973,9532,3374658
1524836554974,9522,3374582
1524836554988,9538,3374507
1524836555003,9499,3374412
1524836555004,9518,3374342
1524836555019,9541,3374232
1524836555033,9526,3374107
1524836555034,9530,3373970
1524836555048,9547,3373904
1524836555063,9588,3373880
1524836555064,9553,3373829
1524836555079,9594,3373882
1524836555093,9601,3373922
1524836555094,9590,3374055
1524836555108,9620,3374268
1524836555123,9621,3374520
1524836555125,9632,3374691
1524836555138,9647,3375003
1524836555153,9631,3375329
1524836555155,9666,3375648
1524836555168,9652,3375955
1524836555184,9659,3376157
1524836555185,9682,3376418
1524836555198,9690,3376640
1524836555213,9694,3376923
1524836555215,9686,3377037
1524836555244,9699,3376996
1524836555246,9694,3377072
1524836555247,9704,3377249
1524836555258,9693,3377574
1524836555273,9667,3377894
1524836555276,9684,3378185
1524836555288,9683,3378544
1524836555303,9657,3378793
1524836555304,9676,3378971
1524836555333,9639,3379096
1524836555335,9647,3378978
1524836555336,9631,3379031
1524836555348,9619,3379188
1524836555363,9612,3379187
1524836555365,9597,3379066
1524836555378,9570,3378856
1524836555393,9541,3378516
1524836555395,9543,3378268
1524836555408,9537,3378086
1524836555423,9540,3377958
1524836555424,9521,3377824
1524836555438,9512,3377700
1524836555453,9513,3377563
1524836555454,9490,3377471
1524836555498,9494,3377308
1524836555500,9485,3377182
1524836555501,9494,3377106
1524836555503,9496,3377033
1524836555504,9465,3376963
1524836555513,9496,3376790
1524836555618,9480,3376588
1524836555619,9486,3376464
1524836555620,9463,3376306
1524836555633,9478,3376197
1524836555648,9470,3376103
1524836555738,9495,3375974
1524836555739,9506,3375007
1524836555740,9519,3374661
1524836555753,9528,3374282
1524836555754,9513,3373920
1524836555769,9585,3373278
1524836555770,9710,3374095
1524836555771,9719,3374275
1524836555772,9725,3374412
1524836555773,9719,3374480
1524836555801,9714,3374562
1524836555802,9736,3374658
1524836555814,9745,3374675
1524836555817,9754,3374640
1524836555828,9721,3374620
1524836555843,9746,3374566
1524836555844,9718,3374557
1524836555858,9712,3374508
1524836555888,9749,3374490
1524836555891,9741,3374508
1524836555893,9737,3374443
1524836555904,9711,3374413
1524836555905,9706,3374360
1524836555933,9713,3374300
1524836555948,9683,3374322
1524836555963,9705,3374362
1524836555964,9679,3374439
1524836555965,9691,3374548
1524836555966,9705,3374601
1524836555978,9648,3374613
1524836555993,9662,3374550
1524836556008,9646,3374546
1524836556009,9656,3374599
1524836556023,9648,3374606
1524836556038,9639,3374656
1524836556039,9627,3374673
1524836556053,9627,3374679
1524836556054,9632,3374682
1524836556083,9666,3374716
1524836556084,9630,3374747
1524836556098,9622,3374806
1524836556113,9605,3374851
1524836556114,9633,3374904
1524836556115,9628,3374961
1524836556128,9620,3374996
1524836556143,9614,3374994
1524836556144,9630,3375001
1524836556158,9613,3374995
1524836556173,9631,3374991
1524836556175,9612,3374982
1524836556188,9644,3374990
1524836556203,9602,3375061
1524836556204,9617,3375145
1524836556218,9603,3375236
1524836556233,9631,3375367
1524836556235,9613,3375500
1524836556248,9618,3375614
1524836556263,9625,3375678
1524836556264,9637,3375742
1524836556278,9593,3375694
1524836556293,9593,3375692
1524836556294,9574,3375690
1524836556308,9607,3375747
1524836556323,9591,3375787
1524836556325,9624,3375878
1524836556353,9602,3376029
1524836556355,9608,3376146
1524836556356,9634,3376306
1524836556368,9605,3376435
1524836556398,9628,3376467
1524836556399,9610,3376505
1524836556413,9618,3376493
1524836556415,9623,3376523
1524836556416,9632,3376656
1524836556503,9659,3376826
1524836556504,9662,3377005
1524836556506,9652,3377138
1524836556509,9606,3377281
1524836556510,9645,3377457
1524836556519,9616,3377671
1524836556520,9536,3377806
1524836556533,9507,3377580
1524836556534,9460,3377263
1524836556548,9408,3376989
1524836556563,9403,3376770
1524836556594,9383,3376607
1524836556654,9359,3376545
1524836556656,9309,3376454
1524836556657,9301,3376406
1524836556658,9329,3376326
1524836556668,9307,3375971
1524836556670,9324,3375568
1524836556671,9374,3374989
1524836556684,9362,3375002
1524836556685,9372,3374950
1524836556698,9381,3374909
1524836556713,9391,3374816
1524836556714,9411,3374723
1524836556728,9394,3374603
1524836556743,9452,3374540
1524836556745,9441,3374498
1524836556758,9419,3374481
1524836556773,9422,3374359
1524836556775,9431,3374325
1524836556788,9457,3374237
1524836556803,9469,3374212
1524836556805,9446,3374089
1524836556818,9466,3373958
1524836556833,9475,3373872
1524836556834,9461,3373706
1524836556848,9506,3373576
1524836556863,9503,3373360
1524836556866,9514,3373252
1524836556878,9493,3373064
1524836556908,9531,3372872
1524836556909,9539,3372689
1524836556910,9558,3372521
1524836556923,9567,3372405
1524836556924,9582,3372293
1524836556938,9589,3372244
1524836556968,9588,3372146
1524836556970,9607,3372112
1524836556971,9606,3372067
1524836556999,9635,3372049
1524836557012,9645,3372029
1524836557013,9636,3371997
1524836557014,9664,3371916
1524836557015,9665,3371858
1524836557028,9687,3371499
1524836557043,9677,3371493
1524836557044,9717,3371519
1524836557058,9763,3371570
1524836557073,9735,3371576
1524836557074,9768,3371594
1524836557088,9744,3371620
1524836557103,9747,3371639
1524836557104,9764,3371670
1524836557120,9780,3371677
1524836557133,9746,3371690
1524836557135,9766,3371776
1524836557149,9784,3371738
1524836557163,9778,3371784
1524836557164,9740,3371806
1524836557178,9755,3371786
1524836557193,9757,3371829
1524836557194,9755,3371850
1524836557208,9735,3371851
1524836557223,9764,3371879
1524836557224,9763,3371897
1524836557238,9752,3371862
1524836557253,9740,3371843
1524836557254,9762,3371832
1524836557268,9779,3371862
1524836557283,9757,3371905
1524836557284,9751,3371904
1524836557298,9772,3371886
1524836557313,9769,3371903
1524836557314,9785,3371940
1524836557328,9776,3371956
1524836557343,9783,3371954
1524836557344,9771,3371994
1524836557373,9793,3372006
1524836557374,9740,3372044
1524836557375,9792,3372004
1524836557388,9776,3372018
1524836557418,9777,3372008
1524836557420,9787,3372004
1524836557421,9776,3372062
1524836557433,9793,3372039
1524836557434,9774,3372058
1524836557463,9776,3372036
1524836557465,9774,3372095
1524836557478,9712,3372122
1524836557493,9779,3372132
1524836557494,9779,3372167
1524836557495,9784,3372226
1524836557553,9778,3372277
1524836557554,9780,3372311
1524836557556,9771,3372405
1524836557557,9804,3372467
1524836557557,9798,3372525
1524836557568,9791,3372547
1524836557570,9803,3372596
1524836557583,9775,3372635
1524836557584,9788,3372592
1524836557613,9775,3372639
1524836557615,9798,3372685
1524836557617,9765,3372672
1524836557628,9770,3372709
1524836557643,9795,3372753
1524836557644,9782,3372766
1524836557659,9792,3372860
1524836557703,9791,3372876
1524836557704,9802,3372919
1524836557705,9777,3372963
1524836557706,9806,3372985
1524836557707,9770,3373025
1524836557729,9793,3373090
1524836557733,9770,3373131
1524836557734,9767,3373213
1524836557763,9771,3373283
1524836557765,9755,3373305
1524836557767,9757,3373355
1524836557778,9742,3373393
1524836557793,9751,3373389
1524836557794,9724,3373453
1524836557808,9701,3373588
1524836557823,9688,3373688
1524836557824,9711,3373737
1524836557838,9734,3373738
1524836557853,9721,3373748
1524836557854,9706,3373584
1524836557868,9692,3373504
1524836557898,9672,3373394
1524836557901,9701,3373316
1524836557904,9704,3373250
1524836557913,9695,3373073
1524836557922,9713,3372892
1524836557928,9639,3372778
1524836557943,9676,3372689
1524836557949,9699,3372696
1524836557989,9691,3372723
1524836557990,9682,3372766
1524836557991,9701,3372707
1524836557992,9686,3372759
1524836557993,9694,3372857
1524836558019,9701,3372988
1524836558021,9735,3373022
1524836558033,9729,3373109
1524836558049,9697,3373176
1524836558050,9746,3373302
1524836558063,9754,3373465
1524836558078,9771,3373641
1524836558108,9795,3373849
1524836558109,9800,3373985
1524836558110,9797,3374105
1524836558111,9811,3374206
1524836558112,9821,3374315
1524836558153,9842,3374434
1524836558154,9874,3374505
1524836558155,9887,3374653
1524836558156,9899,3374797
